datetime_ist,height_m,lsm_predicted_m,lstm_residual_m,combined_predicted_m
2024-12-01 00:00:00,4.55,4.503041191630893,0.12594235,4.628983541064792
2024-12-01 01:00:00,3.77,3.6561564131778184,0.031459175,3.687615588228077
2024-12-01 02:00:00,2.98,2.9160384817825356,0.10617092,3.022209404300312
2024-12-01 03:00:00,2.32,2.2927319664858783,0.043424174,2.336156140675446
2024-12-01 04:00:00,1.7,1.7244569944962567,0.036332026,1.7607890206202572
2024-12-01 05:00:00,1.33,1.3636482464046478,-0.10592119,1.2577270598978996
2024-12-01 06:00:00,1.6,1.5421638497341228,-0.1335395,1.4086243518817974
2024-12-01 07:00:00,2.8,2.389823701563307,0.3913537,2.7811773981480084
2024-12-01 08:00:00,3.86,3.600504887464331,0.38606384,3.9865687314298612
2024-12-01 09:00:00,4.79,4.640960228660064,0.12838879,4.769349020936446
2024-12-01 10:00:00,5.26,5.1189349475403,0.101202495,5.220137442936437
2024-12-01 11:00:00,5.16,4.943588287238359,0.170387,5.113975287083864
2024-12-01 12:00:00,4.42,4.280645976564131,0.16884084,4.449486817023001
2024-12-01 13:00:00,3.63,3.439818643411207,0.18606788,3.6258865226111885
2024-12-01 14:00:00,2.9,2.6949510045727583,0.16590296,2.8608539618929716
2024-12-01 15:00:00,2.24,2.1091266729837073,0.11318337,2.2223100447064055
2024-12-01 16:00:00,1.68,1.6007794921910703,0.04008302,1.6408625131165921
2024-12-01 17:00:00,1.29,1.2375117069837156,-0.039113786,1.1983979209121767
2024-12-01 18:00:00,1.31,1.3388281304234193,-0.04119639,1.2976317394369767
2024-12-01 19:00:00,2.74,2.152356630629018,0.4557499,2.608106529777959
2024-12-01 20:00:00,4.09,3.4863773662456157,0.57610595,4.0624833185084945
2024-12-01 21:00:00,5.29,4.782977275597761,0.51802087,5.300998143899153
2024-12-01 22:00:00,5.88,5.5323776136663,0.29740942,5.8297870289113565
2024-12-01 23:00:00,5.82,5.558019920570489,0.27117455,5.8291944706269465
2024-12-02 00:00:00,5.13,4.997469588671009,0.16188493,5.159354522381108
2024-12-02 01:00:00,4.24,4.152423618543818,0.10286515,4.255288770604803
2024-12-02 02:00:00,3.44,3.318668110266205,0.09103993,3.4097080435304603
2024-12-02 03:00:00,2.69,2.616716407676016,0.09606455,2.7127809603407727
2024-12-02 04:00:00,2.05,1.9834437781175165,0.09033865,2.0737824254830866
2024-12-02 05:00:00,1.52,1.4226329302191647,0.11322268,1.5358556112050923
2024-12-02 06:00:00,1.34,1.212497393249867,0.008859349,1.2213567426645733
2024-12-02 07:00:00,2.12,1.6979901809443412,0.24041964,1.9384098220814643
2024-12-02 08:00:00,3.21,2.8508226623204407,0.542528,3.3933506359723267
2024-12-02 09:00:00,4.19,4.165615318816762,0.20872705,4.374342365664106
2024-12-02 10:00:00,4.94,5.040698035201039,-0.07346849,4.967229543765988
2024-12-02 11:00:00,5.22,5.1910798504292845,0.00077107456,5.191850924985099
2024-12-02 12:00:00,4.86,4.714453303663818,0.12285713,4.8373104347277565
2024-12-02 13:00:00,4.06,3.9118001274310856,0.237052,4.14885212103956
2024-12-02 14:00:00,3.32,3.0928437714292367,0.21227196,3.3051157300187906
2024-12-02 15:00:00,2.67,2.420530523827253,0.14272764,2.563258167078672
2024-12-02 16:00:00,2.03,1.8607207899127376,0.15635648,2.017077273610629
2024-12-02 17:00:00,1.51,1.3634092877334147,0.07975657,1.4431658605760127
2024-12-02 18:00:00,1.22,1.1226044532658863,0.03220006,1.154804514050703
2024-12-02 19:00:00,1.61,1.511434751173794,0.3063036,1.8177383417099116
2024-12-02 20:00:00,3.18,2.651485162926218,0.43918335,3.0906685173039645
2024-12-02 21:00:00,4.54,4.137590422804412,0.37068722,4.508277639324722
2024-12-02 22:00:00,5.54,5.302905505151,0.19446091,5.497366418689933
2024-12-02 23:00:00,5.86,5.72038819947371,0.09785451,5.818242709423394
2024-12-03 00:00:00,5.48,5.405978283823447,0.17653841,5.5825166916260285
2024-12-03 01:00:00,4.58,4.652088413623047,0.046442464,4.698530877617073
2024-12-03 02:00:00,3.78,3.784458435952105,-0.019624002,3.764834433674254
2024-12-03 03:00:00,3.0,3.0037812133860586,0.04166805,3.0454492633771895
2024-12-03 04:00:00,2.29,2.3230133737254324,0.025271652,2.3482850259918155
2024-12-03 05:00:00,1.73,1.6798266901838441,0.053492203,1.7333188935386796
