name,kind,period_hours,speed_deg_per_hour,amplitude_m,phase_deg,A_cos,B_sin
M2,semidiurnal,12.4206012,28.9841042,1.6567586756649664,190.35624503186412,-1.6297684875712017,-0.2978321445227341
S2,semidiurnal,12.0,30.0,0.7254744339724774,15.371979450359385,0.699520701724726,0.19231209583963568
N2,semidiurnal,12.65834751,28.4397295,0.30805892533303686,305.84130910898455,0.18038152664276907,-0.24972546190440728
K2,semidiurnal,11.96723606,30.0821373,0.22224812910449185,172.64406530146877,-0.22041901006674888,0.028455067943010278
K1,diurnal,23.93447213,15.0410686,0.15344920636677278,357.6763829406428,0.1533230355325363,-0.0062213912978554605
O1,diurnal,25.81933871,13.9430356,0.07140749365246371,209.98013507710962,-0.061853078592255764,-0.03568230399493391
P1,diurnal,24.06588766,14.9589314,0.05656538857450494,9.44423950423458,0.05579868769230395,0.009281682843184261
Q1,diurnal,26.86835,13.3986609,0.00586147378634411,306.0412447478722,0.003448700538553406,-0.004739550563437487
Mf,long-period,327.8599387,1.0980331,0.04186822031616511,325.78906338685294,0.03462389901303273,-0.02354004013544269
Msf,long-period,354.3670666,1.0158958,0.12006909938295719,177.55001106146437,-0.11995934596223327,0.005132635088108106
Mm,long-period,661.3111655,0.5443747,0.043357652785390624,243.24775051339276,-0.019516731995311638,-0.038716704757529016
M4,shallow-water,6.2103006,57.9682084,0.23788981973482695,295.915382220277,0.10396814644158135,-0.2139677332192178
MS4,shallow-water,6.10333927,58.9841042,0.23591143741353113,116.1574025371676,-0.10399887953261937,0.21175088986466653
MN4,shallow-water,6.2691732,57.4238337,0.09165603276417637,50.947705087066474,0.05774599938462498,0.07117743952362057
M6,shallow-water,4.1402004,86.9523127,0.0555496544422369,2.6521370532016886,0.05549015396051891,0.0025703933725866788
S4,shallow-water,6.0,60.0,0.045303492631443995,295.65628473086815,0.019615119295565746,-0.040836913933695144
2N2,semidiurnal,12.90537297,27.8953548,0.04491439103126793,56.88097053567715,0.024540332145944716,0.037617477585244245
Sa,long-period,8766.15265,0.0410686,0.28484510863675344,215.42742511886175,-0.23210615767028797,-0.16511652699175602
Ssa,long-period,4383.07632,0.0821373,0.03391155164333447,246.70058027769937,-0.013413246298251478,-0.031146077740238556
