name,kind,period_hours,speed_deg_per_hour,amplitude_m,phase_deg,A_cos,B_sin
M2,semidiurnal,12.4206012,28.9841042,1.6446843193290495,171.52594420307594,-1.6267287937345385,0.24236324366915069
S2,semidiurnal,12.0,30.0,0.7163281342425243,353.87064417143245,0.7122331503408346,-0.0764848708108085
N2,semidiurnal,12.65834751,28.4397295,0.3097301920495924,289.44519025558714,0.10311071901850703,-0.29206330048563767
K2,semidiurnal,11.96723606,30.0821373,0.21162387049340609,154.80861655011316,-0.1914965514498222,0.09007626405127774
K1,diurnal,23.93447213,15.0410686,0.15752643046386317,350.64468248363283,0.15543120802070964,-0.025606949601801498
O1,diurnal,25.81933871,13.9430356,0.05924595862744567,205.8506120276046,-0.053317450180203174,-0.025832791563564262
P1,diurnal,24.06588766,14.9589314,0.051804515242088234,1.432557196627898,0.051788323496537114,0.0012951250463850317
Q1,diurnal,26.86835,13.3986609,0.00378524708109014,298.67122054963403,0.0018160966314835908,-0.0033211275931549784
Mf,long-period,327.8599387,1.0980331,0.02019229132235984,317.3869685493038,0.014860377840320986,-0.013671056992418162
Msf,long-period,354.3670666,1.0158958,0.04801960403760042,163.968660119757,-0.04615215923087834,0.013261243164031856
Mm,long-period,661.3111655,0.5443747,0.01776280231508413,242.48258321857313,-0.008206738407490604,-0.01575330412312848
M4,shallow-water,6.2103006,57.9682084,0.17926320651940933,261.6979517883786,-0.025884096641554968,-0.17738464068986087
MS4,shallow-water,6.10333927,58.9841042,0.17270680707323055,79.24626042332115,0.03222504502501589,0.16967376839855292
MN4,shallow-water,6.2691732,57.4238337,0.07018854281987093,20.179584772445445,0.06588008912477324,0.024212505035390092
M6,shallow-water,4.1402004,86.9523127,0.029416586870908066,270.2136390231627,0.00010968550170269469,-0.029416382378266655
S4,shallow-water,6.0,60.0,0.03549495670883988,264.64308122229454,-0.0033137990284626577,-0.03533993050023411
2N2,semidiurnal,12.90537297,27.8953548,0.04480512690295359,40.172244106187165,0.034235983650342944,0.028903232004106844
Sa,long-period,8766.15265,0.0410686,0.2756772035608942,217.73425005590232,-0.2180214764456685,-0.1687144225358506
Ssa,long-period,4383.07632,0.0821373,0.037359121906805064,278.9869459154592,0.005835847111255639,-0.03690049970043185
