datetime_ist,datetime_utc,predicted_height_m
2024-06-19 00:00:00,2024-06-18 18:30:00,2.893510911478215
2024-06-19 01:00:00,2024-06-18 19:30:00,2.36658543205903
2024-06-19 02:00:00,2024-06-18 20:30:00,2.0158320003887717
2024-06-19 03:00:00,2024-06-18 21:30:00,1.8820820085380734
2024-06-19 04:00:00,2024-06-18 22:30:00,2.1662815059213885
2024-06-19 05:00:00,2024-06-18 23:30:00,2.966999710442941
2024-06-19 06:00:00,2024-06-19 00:30:00,3.9932227352006584
2024-06-19 07:00:00,2024-06-19 01:30:00,4.85800962622771
2024-06-19 08:00:00,2024-06-19 02:30:00,5.345774868708731
2024-06-19 09:00:00,2024-06-19 03:30:00,5.356983961721186
2024-06-19 10:00:00,2024-06-19 04:30:00,4.94191665594719
2024-06-19 11:00:00,2024-06-19 05:30:00,4.276640593174061
2024-06-19 12:00:00,2024-06-19 06:30:00,3.516172577161226
2024-06-19 13:00:00,2024-06-19 07:30:00,2.8164126637076845
2024-06-19 14:00:00,2024-06-19 08:30:00,2.303145437918029
2024-06-19 15:00:00,2024-06-19 09:30:00,1.9993420904809867
2024-06-19 16:00:00,2024-06-19 10:30:00,2.025002005838498
2024-06-19 17:00:00,2024-06-19 11:30:00,2.572763913418868
2024-06-19 18:00:00,2024-06-19 12:30:00,3.505710343951917
2024-06-19 19:00:00,2024-06-19 13:30:00,4.3975969437344435
2024-06-19 20:00:00,2024-06-19 14:30:00,4.942628707852949
2024-06-19 21:00:00,2024-06-19 15:30:00,5.0355062158463015
2024-06-19 22:00:00,2024-06-19 16:30:00,4.70774584516365
2024-06-19 23:00:00,2024-06-19 17:30:00,4.117790820525633
2024-06-20 00:00:00,2024-06-19 18:30:00,3.424348383381806
2024-06-20 01:00:00,2024-06-19 19:30:00,2.7439644885799135
2024-06-20 02:00:00,2024-06-19 20:30:00,2.182144696742913
2024-06-20 03:00:00,2024-06-19 21:30:00,1.7825217284732116
2024-06-20 04:00:00,2024-06-19 22:30:00,1.6736287280276485
2024-06-20 05:00:00,2024-06-19 23:30:00,2.141166756022116
2024-06-20 06:00:00,2024-06-20 00:30:00,3.194233815099501
2024-06-20 07:00:00,2024-06-20 01:30:00,4.385251560764296
2024-06-20 08:00:00,2024-06-20 02:30:00,5.273629262110284
2024-06-20 09:00:00,2024-06-20 03:30:00,5.668630198574815
