state,count,average_interval_hours,event_times_ist,event_times_utc
High,19,12.361378371099057,"08:30, 20:42, 09:11, 21:26, 09:47, 22:07, 10:23, 22:47, 11:03, 23:29, 11:44, 00:11, 12:27, 00:56, 13:14, 01:44, 14:04, 02:38, 15:00","03:00, 15:12, 03:41, 15:56, 04:17, 16:37, 04:53, 17:17, 05:33, 17:59, 06:14, 18:41, 06:57, 19:26, 07:44, 20:14, 08:34, 21:08, 09:30"
Low,20,12.37700722205544,"03:02, 15:35, 03:51, 16:21, 04:37, 17:05, 05:21, 17:49, 06:03, 18:34, 06:45, 19:19, 07:25, 20:02, 08:04, 20:46, 08:46, 21:28, 09:32, 22:11","21:32, 10:05, 22:21, 10:51, 23:07, 11:35, 23:51, 12:19, 00:33, 13:04, 01:15, 13:49, 01:55, 14:32, 02:34, 15:16, 03:16, 15:58, 04:02, 16:41"
