datetime_ist,datetime_utc,predicted_height_m
2024-06-16 00:00:00,2024-06-15 18:30:00,2.3415418645303405
2024-06-16 01:00:00,2024-06-15 19:30:00,2.474359875452868
2024-06-16 02:00:00,2024-06-15 20:30:00,2.774799927805642
2024-06-16 03:00:00,2024-06-15 21:30:00,3.2714139469352146
2024-06-16 04:00:00,2024-06-15 22:30:00,3.895053223480064
2024-06-16 05:00:00,2024-06-15 23:30:00,4.417561191980535
2024-06-16 06:00:00,2024-06-16 00:30:00,4.6905318863514385
2024-06-16 07:00:00,2024-06-16 01:30:00,4.625581830425615
2024-06-16 08:00:00,2024-06-16 02:30:00,4.257145037037591
2024-06-16 09:00:00,2024-06-16 03:30:00,3.8058645390308903
2024-06-16 10:00:00,2024-06-16 04:30:00,3.357948816449653
2024-06-16 11:00:00,2024-06-16 05:30:00,2.881723770799262
2024-06-16 12:00:00,2024-06-16 06:30:00,2.558004579400093
2024-06-16 13:00:00,2024-06-16 07:30:00,2.5464381369736455
2024-06-16 14:00:00,2024-06-16 08:30:00,2.763540627215706
2024-06-16 15:00:00,2024-06-16 09:30:00,3.1620621913353384
2024-06-16 16:00:00,2024-06-16 10:30:00,3.7158054038623423
2024-06-16 17:00:00,2024-06-16 11:30:00,4.247734759729189
2024-06-16 18:00:00,2024-06-16 12:30:00,4.602612082870647
2024-06-16 19:00:00,2024-06-16 13:30:00,4.672979490563993
2024-06-16 20:00:00,2024-06-16 14:30:00,4.383172429724406
2024-06-16 21:00:00,2024-06-16 15:30:00,3.8924616277509227
2024-06-16 22:00:00,2024-06-16 16:30:00,3.401693635054641
2024-06-16 23:00:00,2024-06-16 17:30:00,2.9009006983135635
2024-06-17 00:00:00,2024-06-16 18:30:00,2.472989115875738
2024-06-17 01:00:00,2024-06-16 19:30:00,2.309980703798309
2024-06-17 02:00:00,2024-06-16 20:30:00,2.3781637646335048
2024-06-17 03:00:00,2024-06-16 21:30:00,2.635697985149087
2024-06-17 04:00:00,2024-06-16 22:30:00,3.1900066633628965
2024-06-17 05:00:00,2024-06-16 23:30:00,3.930445564162143
2024-06-17 06:00:00,2024-06-17 00:30:00,4.556754932522071
2024-06-17 07:00:00,2024-06-17 01:30:00,4.887382671734849
2024-06-17 08:00:00,2024-06-17 02:30:00,4.839172480440978
2024-06-17 09:00:00,2024-06-17 03:30:00,4.474552637814821
2024-06-17 10:00:00,2024-06-17 04:30:00,3.9949995442730497
2024-06-17 11:00:00,2024-06-17 05:30:00,3.458900223837542
2024-06-17 12:00:00,2024-06-17 06:30:00,2.8956992550813276
2024-06-17 13:00:00,2024-06-17 07:30:00,2.5241943698087392
2024-06-17 14:00:00,2024-06-17 08:30:00,2.4422397615446476
2024-06-17 15:00:00,2024-06-17 09:30:00,2.572353097858645
2024-06-17 16:00:00,2024-06-17 10:30:00,2.966038526210476
2024-06-17 17:00:00,2024-06-17 11:30:00,3.6169229719602765
2024-06-17 18:00:00,2024-06-17 12:30:00,4.27417996918328
2024-06-17 19:00:00,2024-06-17 13:30:00,4.707473406180179
2024-06-17 20:00:00,2024-06-17 14:30:00,4.7832223771837326
2024-06-17 21:00:00,2024-06-17 15:30:00,4.471834195548055
2024-06-17 22:00:00,2024-06-17 16:30:00,3.9671678606624803
2024-06-17 23:00:00,2024-06-17 17:30:00,3.435130691665926
2024-06-18 00:00:00,2024-06-17 18:30:00,2.875114664295757
2024-06-18 01:00:00,2024-06-17 19:30:00,2.415119611452763
2024-06-18 02:00:00,2024-06-17 20:30:00,2.204004326739836
2024-06-18 03:00:00,2024-06-17 21:30:00,2.1973341123953536
2024-06-18 04:00:00,2024-06-17 22:30:00,2.4754012939960552
2024-06-18 05:00:00,2024-06-17 23:30:00,3.1917705076726413
2024-06-18 06:00:00,2024-06-18 00:30:00,4.1182679415968595
2024-06-18 07:00:00,2024-06-18 01:30:00,4.850690744278489
2024-06-18 08:00:00,2024-06-18 02:30:00,5.1956023027830325
2024-06-18 09:00:00,2024-06-18 03:30:00,5.106277009628585
2024-06-18 10:00:00,2024-06-18 04:30:00,4.680748070872291
2024-06-18 11:00:00,2024-06-18 05:30:00,4.110316121230909
2024-06-18 12:00:00,2024-06-18 06:30:00,3.4614683593182476
2024-06-18 13:00:00,2024-06-18 07:30:00,2.82739520866343
2024-06-18 14:00:00,2024-06-18 08:30:00,2.4131173311468666
2024-06-18 15:00:00,2024-06-18 09:30:00,2.2506644219611314
2024-06-18 16:00:00,2024-06-18 10:30:00,2.3340352185303836
2024-06-18 17:00:00,2024-06-18 11:30:00,2.8271501930100453
2024-06-18 18:00:00,2024-06-18 12:30:00,3.66635920818121
2024-06-18 19:00:00,2024-06-18 13:30:00,4.458688651207352
2024-06-18 20:00:00,2024-06-18 14:30:00,4.913074384672489
2024-06-18 21:00:00,2024-06-18 15:30:00,4.933708920390924
2024-06-18 22:00:00,2024-06-18 16:30:00,4.5658962859078
2024-06-18 23:00:00,2024-06-18 17:30:00,4.017751072957031
